Name,Description,Category,Style,DailyRate,TotalQuantity,InStockQuantity
Classic Armchair,A conventional armchair that seats one person. Fits into a family rooms decorated with traditional furnishings.,Traditional,Armchair,31.00,3,3
Country Armchair,An old-fashioned armchair that seats one person. Looks good in a family room setting with rustic décor.,Rustic,Armchair,25.00,2,2
Retro Armchair,A throwback accent chair that is suited for one person sitting. Ideal in a living room for a funky 1970s vibe.,Vintage,Armchair,45.00,6,6
Mod Bed,A streamlined Queen-sized bed with mattress and boxed spring set. Accomodates one or two persons for a tranquil sleep experience.,Modern,Bed,81.00,8,8
Simple Bed,A standard King-sized bed with mattress and boxed spring set. Accomodates two persons for a reliable bedtime ritual.,Contemporary,Bed,92.00,7,7
Seaside Bed,A oceanic-print Full-sized bed with foam mattress only. Fits one person for good slumber in a vacation home.,Coastal,Bed,76.00,1,1
Swedish Bookshelf,A five-shelf minimal bookshelf provides a sturdy and spacious way to organize a library or display trickets.,Minimalist,Bookshelf,15.50,10,10
Seaside Bookshelf,A 3-shelf safari-themed bookshelf. Designed to hold family photos or store a collection of paperbacks for beach reading.,Coastal,Bookshelf,18.50,1,1
Classic Crib,Safety is the priority for this crib. This item fits well in a nursery decorated with traditional furniture.,Traditional,Crib,35.50,2,2
Simple Crib,A standard baby's crib. The best-selling crib on the market. Guaranteed to keep a newborn secure.,Contemporary,Crib,31.50,1,1
Swedish Desk,Part of the Swedish Minimalist collection. This cost-saving desk must be assembled by the buyer.,Minimalist,Desk,22.50,8,8
Swedish Dining Chair,A minimal dining chair with no arm supports. Seats one. Recommend 4 or 6 chairs per dining set.,Minimalist,Dining chair,10.00,44,44
Seaside Dining Chair,A sailing-themed dining chair with arm supports. Seats one.  Recommend 4 or 6 chairs per dining set.,Coastal,Dining chair,12.50,12,12
Retro Dining Chair,A 1970s-inspired dining chair with no arm supports. Seats one.  Recommend 4 chairs per dining set.,Vintage,Dining chair,13.00,48,48
Mod Dresser,A sleek 4-drawer vertical dresser. Goes well with bedroom sets containing modern beds and nightstands.,Modern,Dresser,42.00,10,10
Simple Dresser,A standard 6-drawer horizontal dresser. The default option for a dresser of the contemporary variety.,Contemporary,Dresser,41.00,8,8
Seaside Dresser,A five-drawer dresser designed for a vacation spot. Ideal for bedrooms filled with coastal-style merchandise.,Coastal,Dresser,40.50,3,3
Mod Futon,A no frills futon. Converts easily between sofa and bed functions. Seats three or sleeps one.,Modern,Futon,35.00,0,0
Swedish Futon,A minimal futon. Switches quickly between seating and sleeping purposes.,Minimalist,Futon,30.00,1,1
Classic Loveseat,A conventional loveseat that seats two persons. Fits into a family room decorated with traditional furnishings.,Traditional,Loveseat,40.50,3,3
Country Loveseat,A rural-style loveseat that seats two persons. Fits into a family room filled with other rustic items.,Rustic,Loveseat,36.00,2,2
Retro Loveseat,A avocado-colored loveseat suitable for 2-person seating. Ideal for a room with a disco-era feeling.,Vintage,Loveseat,26.00,4,4
Mod Nightstand,A streamlined bedside table with no drawers. Recommend two nightstands per bedroom.,Modern,Nightstand,29.00,12,12
Simple Nightstand,A standard nightstand with 2-drawer storage capability. Recommend two nightstands per bedroom.,Contemporary,Nightstand,28.50,8,8
Seaside Nightstand,A safari-themed nightstand with one drawer for storage. Recommend two nightstands per bedroom.,Coastal,Nightstand,22.50,2,2
Swedish Office Chair,Part of the Swedish Minimalist collection. This cost-saving office chair must be assembled by the buyer.,Minimalist,Office chair,19.00,7,7
Classic Ottoman,A conventional ottoman. Built to match the Classic Armchair.,Traditional,Ottoman,14.00,3,3
Country Ottoman,An old-fashioned oversized footrest. Rugged upholstery. Looks great in any farmhouse.,Rustic,Ottoman,16.00,1,1
Retro Ottoman,"A kitchy, vinyl ottoman reminiscent of the 1970s. Built to match the Retro Armchair.",Vintage,Ottoman,15.00,6,6
Classic Sofa,A conventional couch that accommodates seating 3 persons. Perfect for family rooms decorated with traditional furnishings.,Traditional,Sofa,55.50,5,5
Country Sofa,An old-fashioned couch that accommodates seating 4 persons. Great for family rooms decorated with rustic items.,Rustic,Sofa,45.00,7,7
Retro Sofa,A 1970s-era couch that accommodates seating 3 persons. Works well in family rooms containing other vintage furnishings.,Vintage,Sofa,52.00,4,4
Swedish Table,A minimal dining table. Seats six persons with leaf or four persons without leaf.,Minimalist,Table,38.00,8,8
Seaside Table,A sailing-themed dining table well-suited for 4-6 vacationers. Good for family meals at the lake house.,Coastal,Table,40.00,3,3
Retro Table,"A hip, vintage version of the familiar dining table. Custom designed to fit a set of 4 dining chairs in the Vintage Collection.",Vintage,Table,46.00,6,6
